"F:\Program Files (x86)\SteamLibrary\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe" -addon all_deathmatch -tools -steam -4gb

f:\program files (x86)\steamlibrary\steamapps\common\dota 2 beta\game\dota_addons\all_deathmatch\elements\sessions\sessionfinal.dmx#0

1280x720 @24.00 fps
motion blur samples:    per-camera settings
depth of field samples: 64

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
    375	  1.345	    553	shot1                 	map                   	   64	    8	   64
    376	  1.353	    554	shot1                 	map                   	   64	    8	   64
    377	  1.313	    556	shot1                 	map                   	   64	    8	   64
    378	  1.373	    557	shot1                 	map                   	   64	    8	   64
    379	  1.385	    558	shot1                 	map                   	   64	    8	   64
    380	  1.366	    560	shot1                 	map                   	   64	    8	   64
    381	  1.454	    561	shot1                 	map                   	   64	    8	   64
    382	  1.287	    562	shot1                 	map                   	   64	    8	   64
    383	  1.353	    564	shot1                 	map                   	   64	    8	   64
    384	  1.343	    565	shot1                 	map                   	   64	    8	   64
    385	  1.365	    566	shot1                 	map                   	   64	    8	   64
    386	  1.351	    568	shot1                 	map                   	   64	    8	   64
    387	  1.301	    569	shot1                 	map                   	   64	    8	   64
    388	  1.296	    570	shot1                 	map                   	   64	    8	   64
    389	  1.293	    572	shot1                 	map                   	   64	    8	   64
    390	  1.286	    573	shot1                 	map                   	   64	    8	   64
    391	  1.271	    574	shot1                 	map                   	   64	    8	   64
    392	  1.317	    576	shot1                 	map                   	   64	    8	   64
    393	  1.314	    577	shot1                 	map                   	   64	    8	   64
    394	  1.395	    578	shot1                 	map                   	   64	    8	   64
    395	  1.307	    580	shot1                 	map                   	   64	    8	   64
    396	  1.270	    581	shot1                 	map                   	   64	    8	   64
    397	  1.360	    582	shot1                 	map                   	   64	    8	   64
    398	  1.365	    584	shot1                 	map                   	   64	    8	   64
    399	  1.314	    585	shot1                 	map                   	   64	    8	   64
    400	  1.303	    586	shot1                 	map                   	   64	    8	   64
    401	  1.273	    587	shot1                 	map                   	   64	    8	   64
    402	  1.282	    589	shot1                 	map                   	   64	    8	   64
    403	  1.347	    590	shot1                 	map                   	   64	    8	   64
    404	  1.274	    591	shot1                 	map                   	   64	    8	   64
    405	  1.379	    593	shot1                 	map                   	   64	    8	   64
    406	  1.328	    594	shot1                 	map                   	   64	    8	   64
    407	  1.283	    595	shot1                 	map                   	   64	    8	   64
    408	  1.317	    597	shot1                 	map                   	   64	    8	   64
    409	  1.297	    598	shot1                 	map                   	   64	    8	   64
